,backdoor,clean,clipping_backdoor,clipping_clean,clipping_label_flip,label_flip
aaf,42.13,49.28,,,,48.99
fedavg,27.029999999999998,47.870000000000005,,,,42.66
krum,30.5,45.379999999999995,,,,45.29
median,31.580000000000002,47.980000000000004,,,,44.41
norm,,,31.869999999999997,48.36,46.57,
